SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
003960,사조대림,396
004000,롯데정밀화학,400
004020,현대제철,402
004060,에스지세계물산,406
004080,신흥,408
004090,한국석유공업,409
004100,태양금속공업,410
004105,태양금속공업1우,410
004140,동방,414
004150,한솔홀딩스,415
004170,신세계,417
004250,엔피씨,425
004255,엔피씨1우,425
004270,남성,427
004310,현대약품,431
004360,세방,436
004365,세방1우,436
004370,농심,437
004380,삼익THK,438
004410,서울식품공업,441
004415,서울식품공업1우,441
004430,송원산업,443
004450,삼화왕관,445
004490,세방전지,449
004540,깨끗한나라,454
004545,깨끗한나라1우,454
004560,현대비앤지스틸,456
004690,삼천리,469
004700,조광피혁,470
004710,한솔테크닉스,471
004720,팜젠사이언스,472
004770,써니전자,477
004800,효성,480
004830,덕성,483
004835,덕성1우,483
004840,DRB동일,484
004870,티웨이홀딩스,487
004890,동일산업,489
004910,조광페인트,491
004920,씨아이테크,492
004960,한신공영,496
004970,신라교역,497
004980,성신양회,498
004985,성신양회1우,498
004990,롯데지주,499
005010,휴스틸,501
005030,부산주공,503
005070,코스모신소재,507
005090,에스지씨에너지,509
005110,한창,511
005180,빙그레,518
005250,녹십자홀딩스,525
005257,녹십자홀딩스2우,525
005300,롯데칠성음료,530
005305,롯데칠성음료1우,530
005320,국동,532
005360,모나미,536
005380,현대자동차,538
005385,현대자동차1우,538
005387,현대자동차2우,538
005389,현대자동차3우,538
005390,신성통상,539
005420,코스모화학,542
005430,한국공항,543
005440,현대지에프홀딩스,544
005490,포스코홀딩스,549
005500,삼진제약,550
005610,에스피씨삼립,561
005680,삼영전자공업,568
005690,파미셀,569
005720,넥센,572
005725,넥센1우,572
005740,크라운해태홀딩스,574
005745,크라운해태홀딩스1우,574
005750,대림비앤코,575
005800,신영와코루,580
005810,풍산홀딩스,581
036420,콘텐트리중앙,3642
036460,한국가스공사,4332
036530,에스앤티홀딩스,3653
036570,엔씨소프트,3657
036580,팜스코,3658
037270,와이지플러스,7000
037560,엘지헬로비전,3756
037710,광주신세계,4917
039130,하나투어,3913
039490,키움증권,3949
041650,상신브레이크,6496
008350,남선알미늄,835
008355,남선알미늄1우,835
008420,문배철강,842
008490,서흥,849
008500,일정실업,850
008600,윌비스,860
008700,아남전자,870
008730,율촌화학,873
008770,호텔신라,877
008775,호텔신라1우,877
008870,금비,887
008930,한미사이언스,893
008970,동양철관,897
009070,케이씨티시,907
009140,경인전자,914
009150,삼성전기,915
009155,삼성전기1우,915
009160,심팩,916
009180,한솔로지스틱스,918
009190,대양금속,919
009200,무림페이퍼,920
009240,한샘,924
009270,신원,927
009290,광동제약,929
009310,참엔지니어링,931
009320,대우전자부품,932
009410,태영건설,941
009415,태영건설1우,941
009420,한올바이오파마,942
009440,케이씨그린홀딩스,944
009450,경동나비엔,945
009460,한창제지,946
009470,삼화전기,947
009540,에이치디한국조선해양,954
009580,무림피앤피,958
009680,모토닉,968
009770,삼정펄프,977
009810,플레이그램,981
009830,한화솔루션,983
009835,한화솔루션1우,983
009970,영원무역홀딩스,997
010040,한국내화,1004
010060,OCI홀딩스,1006
010100,한국무브넥스,1010
010120,엘에스일렉트릭,1012
010130,고려아연,1013
010140,삼성중공업,1014
010420,한솔PNS,1042
010580,에스엠벡셀,1058
010600,웰바이오텍,1060
010620,에이치디현대미포,1062
010640,진양폴리우레탄,1064
010660,화천기계,1066
010690,화신,1069
010770,평화홀딩스,1077
