SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
032540,티제이미디어,3254
032580,피델릭스,3258
032620,유비케어,3262
032680,소프트센,3268
032685,소프트센1우,3268
032750,삼진,3275
032790,엠젠솔루션,3279
032800,판타지오,3280
032820,우리기술,3282
032850,비트컴퓨터,3285
032860,더라미,3286
032940,원익,3294
032960,동일기연,3296
032980,바이온,3298
033050,제이엠아이,3305
033100,제룡전기,3310
033130,디지틀조선일보,3313
033160,엠케이전자,3316
033170,시그네틱스,3317
033200,모아텍,3320
033230,인성정보,3323
033290,코웰패션,3329
033310,엠투엔,3331
033320,제이씨현시스템,3332
033340,좋은사람들,3334
033500,동성화인텍,3350
033540,파라텍,3354
033560,블루콤,7092
033640,네패스,3364
033790,스카이문스테크놀로지,7432
033830,티비씨,11028
034810,해성산업,4371
034940,조아제약,3494
034950,한국기업평가,3495
035080,그래디언트,3508
035200,프럼파스트,4406
035290,골드앤에스,4413
035460,기산텔레콤,3546
035600,케이지이니시스,3560
035610,솔본,3561
035620,바른손이앤에이,3562
035760,씨제이이엔엠,3576
035810,이지홀딩스,3581
045100,한양이엔지,6823
045300,성우테크론,7553
045340,토탈소프트뱅크,5038
045390,대아티아이,3956
045510,정원엔시스,6938
045520,크린앤사이언스,6851
045660,에이텍,6859
045970,코아시아,6894
046070,코다코,6884
046120,오르비텍,6900
046210,에이치엘비파나진,6902
046310,백금티앤에이,4631
046390,삼화네트웍스,6915
046440,케이지모빌리언스,7607
046890,서울반도체,5506
046940,우원개발,4893
046970,우리로,6954
047080,한빛소프트,5981
047310,파워로직스,6972
047560,이스트소프트,6980
047770,코데즈컴바인,7007
047820,초록뱀미디어,4636
047920,에이치엘비제약,7020
048410,현대바이오사이언스,7935
048430,유라테크,7073
048470,대동스틸,7071
048530,인트론바이오테크놀로지,7072
048550,에스엠컬처앤콘텐츠,7081
048770,TPC메카트로닉스,7103
048830,엔피케이,7099
048870,시너지이노베이션,7699
048910,대원미디어,7108
049070,인탑스,4897
049080,기가레인,7122
049120,파인디앤씨,7128
049180,셀루메드,7129
049430,코메론,7154
049470,에스지에이,7543
049480,오픈베이스,7153
049520,유아이엘,7162
049550,잉크테크,7157
049630,재영솔루텍,8063
049720,고려신용정보,7176
049830,승일,7186
049950,미래컴퍼니,9500
049960,쎌바이오텍,7990
050090,비케이홀딩스,8772
050110,캠시스,7213
050120,ES큐브,7214
050760,에스폴리텍,7263
050860,아세아텍,4132
050890,쏠리드,4820
050960,수산아이앤티,7279
051160,지어소프트,7297
051360,토비스,7989
051370,인터플렉스,5027
051380,피씨디렉트,7423
051390,YW,7351
051490,나라엠앤디,7329
051500,씨제이프레시웨이,7494
051780,큐로홀딩스,7373
051980,중앙첨단소재,7409
052020,에스티큐브,7438
052220,아이엠비씨,7418
052260,현대바이오랜드,7426
052300,씨티프라퍼티,7458
052330,코텍,7443
052400,코나아이,7537
052420,오성첨단소재,7492
052460,아이크래프트,9339
052600,한네트,7461
052670,제일바이오,5855
052710,아모텍,8017
052770,아이톡시,7559
052790,액토즈소프트,7475
052860,아이앤씨테크놀로지,5348
052900,케이엑스하이텍,7483
053030,바이넥스,7501
053050,지에스이,7497
053060,세동,7499
053080,케이엔솔,7508
053160,프리엠스,7514
053260,금강철강,7522
053270,구영테크,7539
053280,예스이십사,8083
053290,엔이능률,7764
053300,한국정보인증,11136
053350,이니텍,7572
053450,세코닉스,7533
053580,웹케시,7548
053590,한국테크놀로지,7547
053610,프로텍,7551
053620,태양,7550
053700,삼보모터스,7582
053800,안랩,7573
053950,경남제약,7579
053980,오상자이엘,4924
054040,한국컴퓨터,7590
054050,농업회사법인농우바이오,5153
054090,삼진엘앤디,8906
054180,메디콕스,7600
054210,이랜텍,4030
054220,비츠로시스,4052
054300,팬스타엔터프라이즈,4586
054410,케이피티유,5003
054450,텔레칩스,9466
054540,삼영엠텍,5716
054620,에이피에스,5120
054630,에이디칩스,5488
054670,대한뉴팜,5268
054780,키이스트,5225
054800,아이디스홀딩스,5311
054920,한컴위드,5312
054930,유신,5392
054940,엑사이엔씨,5734
054950,제이브이엠,5402
056080,유진로봇,5838
056190,에스에프에이,5896
056360,코위버,6062
056700,신화인터텍,6323
056730,씨앤티85,5697
057030,와이비엠넷,4529
057540,옴니시스템,4591
057680,티사이언티픽,4592
057880,푸른소나무,4654
058400,케이엔엔,11148
058450,한주에이알티,4678
058470,리노공업,4818
058610,에스피지,4867
058630,엠게임,8056
058820,CMG제약,4691
059090,미코,4756
059100,아이컴포넌트,4759
059120,아진엑스텍,4781
059210,메타바이오메드,4764
060150,인선ENT,4821
060230,소니드,4825
060240,스타코링크,4824
060250,엔에이치엔케이씨피,4860
060260,뉴보텍,4864
060280,큐렉소,4862
060310,삼에스코리아,4925
060370,엘에스마린솔루션,4871
060380,동양에스텍,4874
060540,에스에이티,4891
060560,홈센타홀딩스,4894
060570,드림어스컴퍼니,8085
060590,씨티씨바이오,4900
060720,KH바텍,4909
060900,디지피,4937
061040,알에프텍,4944
065690,파커스,8012
065710,서호전기,8009
065770,씨에스,8030
065950,웰크론,8031
066130,하츠,8254
066310,큐에스아이,11192
066360,체리부로,8076
066410,버킷스튜디오,8118
066430,와이오엠,8080
066590,우수AMS,8100
066620,국보디자인,8106
066670,디티씨,8200
066700,테라젠이텍스,8114
066790,씨씨에스충북방송,8124
066900,디에이피,8748
066910,손오공,8137
066980,한성크린텍,8176
067000,조이시티,8178
067010,이씨에스텔레콤,8224
067080,대화제약,8146
067160,숲,8192
067170,오텍,8139
067280,멀티캠퍼스,8165
067290,제이더블유신약,8171
067310,하나마이크론,10031
067370,선바이오,8172
067570,엔브이에이치코리아,8396
067630,에이치엘비생명과학,11204
067770,세진티에스,8904
067900,와이엔텍,8226
067920,이글루코퍼레이션,11207
067990,도이치모터스,8230
068050,팬엔터테인먼트,8238
068100,케이웨더,8234
061250,화일약품,4988
061970,엘비세미콘,7703
062860,티엘아이,7633
062970,피피아이,6035
063080,컴투스홀딩스,4994
063170,서울옥션,9611
063440,에스엠라이프디자인그룹,7784
063570,한국전자금융,7872
064090,웨스트라이즈,7854
064240,홈캐스트,8385
064260,다날,7870
064290,인텍플러스,7862
064480,브리지텍,7886
064520,테크엘,8019
064550,바이오니아,4895
064760,티씨케이,7915
064800,포니링크,7922
064820,케이프,8569
064850,에프앤가이드,7926
065060,지엔코,7942
065130,탑엔지니어링,7954
065150,대산에프앤비,7956
065170,비엘팜텍,7963
065350,신성델타테크,7977
065370,위세아이텍,8047
065420,에스아이리소스,7988
065440,이루온,7985
065450,빅텍,7984
065500,오리엔트정공,7994
065510,휴비츠,8289
065530,와이어블,7996
065570,삼영이엔씨,8004
065650,하이퍼코퍼레이션,8018
065660,안트로젠,8016
065680,우주일렉트로닉스,8013
041830,인바디,6512
041910,폴라리스에이아이파마,8951
041920,메디아나,7342
041930,동아화성,4518
041960,코미팜,6522
042000,카페24,6539
042040,케이피엠테크,6598
042110,에스씨디,6822
042370,비츠로테크,6895
042420,네오위즈홀딩스,6733
042500,링네트,4723
042510,라온시큐어,3941
042520,한스바이오메드,7805
042600,새로닉스,4042
042940,상지건설,6593
043090,더 테크놀로지,6608
043100,솔고바이오메디칼,6919
043150,바텍,6629
043200,파루,6614
043220,티에스넥스젠,6616
043260,성호전자,6620
043340,에쎈테크,6631
043360,디지아이,6643
043370,피에이치에이,6649
043590,웰킵스하이텍,6652
043610,지니뮤직,6658
043650,국순당,6940
043710,서울리거,6664
043910,자연과환경,7507
044060,조광아이엘아이,6703
044180,KD,6717
044340,위닉스,6728
044480,빌리언스,6745
044490,태웅,6743
044780,에이치케이,6961
044960,이글벳,6778
045060,오공,6916
094940,푸른기술,11946
094970,제이엠티,11985
095190,이엠코리아,11967
095270,웨이브일렉트로닉스,11976
095340,아이에스시,12023
095500,미래나노텍,11994
095610,테스,12399
095660,네오위즈,12018
095700,제넥신,12024
095910,에스에너지,12110
096040,이트론,12090
096240,크레버스,12737
096350,대창솔루션,12123
096530,씨젠,15211
096610,알에프세미,12153
096630,에스코넥,12254
096690,에이루트,12880
096870,엘디티,12214
097780,에코볼트,12325
097800,윈팩,12470
097870,효성오앤비,12314
098120,마이크로컨텍솔루션,12339
098460,고영테크놀러지,12376
098660,에스티오,12865
099190,아이센스,12464
099220,에스디엔,12942
099320,쎄트렉아이,12474
099410,동방선기,12484
099430,바이오플러스,12486
099440,스맥,12517
099520,아이티엑스에이아이,12505
100030,인지소프트,13294
100120,뷰웍스,12550
100130,동국S&C,12554
100660,서암기계공업,12640
100700,세운메디칼,12678
101000,케이에스인더스트리,12786
101160,월덱스,12724
101170,우림피티에스,14095
101240,씨큐브,12732
101330,모베이스,14256
101360,에코앤드림,12750
101390,아이엠,12748
101400,엔시트론,12845
101490,에스앤에스텍,12763
101670,하이드로리튬,12772
101680,한국정밀기계,12773
101730,위메이드맥스,12784
101930,인화정공,12918
102120,어보브반도체,14269
102370,케이옥션,12866
068240,다원시스,11214
068330,일신바이오베이스,8267
068760,셀트리온제약,10238
068790,디엠에스,8322
068930,디지털대성,8339
068940,셀피글로벌,8338
069080,웹젠,8367
069140,누리플랜,9171
069330,유아이디,8395
069410,엔텔스,8407
069510,에스텍,8418
069540,빛과전자,4977
069920,아이에스이커머스,11235
070300,엑스큐어,8523
070590,한솔인티큐브,8563
071200,인피니트헬스케어,8631
071280,로체시스템즈,8744
071670,에이테크솔루션,8694
071850,캐스텍코리아,8690
072020,중앙백신연구소,8706
072470,우리산업홀딩스,8766
072520,제넨바이오,8770
072770,율호,8805
072870,메가스터디,8908
072950,빛샘전자,8827
073010,케이에스피,8836
073110,엘엠에스,11279
