통계표,계정항목,단위,변환,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
"1.4.1. 한국은행 주요계정(말잔)","      국채","십억원 ","원자료","14,520.4","14,950.0","14,501.2","15,597.7","14,408.4","15,127.7","14,576.9","15,260.5","14,640.1","15,316.6","15,439.2","16,867.3","16,350.5","16,307.7","15,500.1","16,177.8","15,396.7","15,396.7","13,319.9","14,499.4","14,787.9","16,289.3","14,218.3","14,831.6","15,650.9","17,004.9","16,048.8","16,680.7","16,705.2","16,205.7","16,205.7","16,723.1","17,360.0","17,698.4","22,848.7","25,939.9","27,427.6","29,917.9","29,112.4","28,959.3","30,507.2","30,370.3","29,969.7","32,067.6","30,789.6","30,772.9","29,786.6","29,082.3","28,288.3"
"1.4.1. 한국은행 주요계정(말잔)","    환매조건부채권매각","십억원 ","원자료","12,000.0","15,000.0","15,000.0","16,000.0","20,000.0","22,440.0","15,000.0","14,000.0","19,000.0","19,500.0","16,000.0","17,000.0","23,000.0","24,000.0","14,000.0","15,000.0","16,000.0","9,800.0","10,870.0","12,850.0","11,800.0","14,830.0","7,000.0","10,000.0","11,000.0","11,000.0","3,500.0","5,000.0","9,000.0","8,000.0","10,000.0","8,000.0","16,000.0","11,000.0","11,000.0","11,000.0","16,150.0","15,000.0","12,400.0","11,000.0","27,000.0","24,500.0","13,500.0","20,000.0","24,500.0","16,000.0","1,000.0","500.0","6,000.0"
